From	To
A0QPB5	MSMEG_0340
I7G2X1	MSMEI_0333
I7FW48	MSMEI_0336
A0QPB8	MSMEG_0343
I7G1M8	MSMEI_0345
A0QPC7	MSMEG_0352
A0QPD3	nrdB
A0QPD4	aftD
I7F5E6	MSMEI_0354
A0QPD6	MSMEG_0361
I7G1N5	MSMEI_0355
A0QPD7	MSMEG_0362
I7FW66	MSMEI_0356
A0QPD8	MSMEG_0363
I7G2Z6	MSMEI_0358
A0QPE0	MSMEG_0365
I7F5F2	MSMEI_0359
A0QPE1	MSMEG_0366
A0QPE2	MSMEG_0367
I7G1N9	MSMEI_0360
I7FW71	MSMEI_0361
A0QPE3	MSMEG_0368
I7FD59	MSMEI_0362
A0QPE4	MSMEG_0369
I7G300	MSMEI_0363
A0QPE5	MSMEG_0370
I7F5F7	MSMEI_0364
A0QPE6	MSMEG_0371
I7G1P3	fabG4
A0QPE7	MSMEG_0372
I7FW74	fadA2
A0QPE8	MSMEG_0373
I7F5I9	mmpS4
A0QPF6	mmpl4a
I7G1R8	mmpL4b
A0QPF7	mmpL4b
A0QPF9	rmlA
A0QPG0	MSMEG_0385
Q2YHI4	gtf3
I7G341	MSMEI_0378
I7FD96	MSMEI_0382
A0QPG4	gtf1
A0QPG6	MSMEG_0391
Q2YHH8	rmt3
I7F5J6	rmt3
Q2YHH7	gtf2
I7G1S3	gtf2
A0QPG7	MSMEG_0392
I7FD99	MSMEI_0387
A0QPG9	MSMEG_0394
A0QPI4	MSMEG_0409
Q2M5K5	papA3
I7F5K9	papA3
I7F5L4	MSMEI_0404
A0QPI9	MSMEG_0414
I7G1T4	MSMEI_0405
A0QPJ0	MSMEG_0415
A0QPJ1	MSMEG_0416
I7FWC8	MSMEI_0406
I7G369	MSMEI_0408
A0QPJ3	MSMEG_0418
I7FWD2	MSMEI_0411
A0QPJ7	MSMEG_0422
I7G1T9	MSMEI_0415
A0QPK1	MSMEG_0426
I7F5N2	MSMEI_0424
A0QPL0	MSMEG_0435
I7G1U4	MSMEI_0425
A0QPL1	MSMEG_0436
I7FDD3	MSMEI_0427
A0QPL3	MSMEG_0438
I7F5N8	MSMEI_0429
A0QPL6	MSMEG_0441
A0QPL8	MSMEG_0443
I7FWE8	MSMEI_0431
I7FDD8	MSMEI_0432
A0QPL9	MSMEG_0444
I7G391	MSMEI_0433
A0QPM0	MSMEG_0445
I7F5P4	MSMEI_0434
A0QPM1	MSMEG_0446
I7G1U9	MSMEI_0435
A0QPM2	MSMEG_0447
I7FWF1	MSMEI_0436
